,cell_type_dc_sub_final
56199,Macrophages
56200,Smooth muscle cells
56201,Breast cancer subtype 1
56202,Endothelial cells
56203,Stromal cells
56204,T cells
56205,Breast cancer subtype 3
56206,Macrophages
56207,Breast cancer subtype 1
56208,T cells
56209,Macrophages
56210,Endothelial cells
56211,Macrophages
56212,Stromal cells
56213,T cells
56214,Macrophages
56215,Macrophages
56218,Endothelial cells
56219,Stromal cells
56220,T cells
56221,T cells
56223,Macrophages
56225,Macrophages
56226,Macrophages
56227,T cells
56230,Macrophages
56231,T cells
56232,T cells
56233,Macrophages
56234,T cells
56235,T cells
56236,Macrophages
56237,Macrophages
56238,T cells
56239,T cells
56240,B cells
56241,T cells
56242,T cells
56243,B cells
56244,T cells
56245,Macrophages
56246,T cells
56248,T cells
56249,T cells
56250,Stromal cells
56252,Breast cancer subtype 3
56253,Breast cancer subtype 3
56254,T cells
56255,Breast cancer subtype 1
56256,Breast cancer subtype 3
56257,Breast cancer subtype 1
56258,T cells
56259,Breast cancer subtype 1
56260,T cells
56261,Breast cancer subtype 1
56262,Macrophages
56263,Macrophages
56264,Breast cancer subtype 1
56265,Breast cancer subtype 3
56266,Breast cancer subtype 1
56267,Breast cancer subtype 1
56268,Breast cancer subtype 1
56269,Breast cancer subtype 1
56270,Breast cancer subtype 1
56271,Breast cancer subtype 1
56272,T cells
56273,Stromal cells
56274,Breast cancer subtype 1
56275,Stromal cells
56276,Breast cancer subtype 3
56277,Breast cancer subtype 1
56278,Breast cancer subtype 3
56279,Breast cancer subtype 1
56280,Breast cancer subtype 1
56281,Breast cancer subtype 1
56282,Breast cancer subtype 1
56283,Breast cancer subtype 1
56285,T cells
56286,Breast cancer subtype 1
56287,Breast cancer subtype 1
56288,Breast cancer subtype 1
56289,Breast cancer subtype 3
56290,Breast cancer subtype 1
56291,Breast cancer subtype 1
56292,Breast cancer subtype 1
56293,Smooth muscle cells
56294,Breast cancer subtype 1
56295,Breast cancer subtype 1
56296,Breast cancer subtype 1
56297,Breast cancer subtype 1
56298,Breast cancer subtype 1
56299,Breast cancer subtype 3
56300,Breast cancer subtype 1
56301,Breast cancer subtype 1
56302,Breast cancer subtype 1
56303,Endothelial cells
56305,Breast cancer subtype 1
56306,Breast cancer subtype 3
56307,Breast cancer subtype 3
56308,Endothelial cells
56309,Breast cancer subtype 1
56310,Breast cancer subtype 1
56311,Stromal cells
56312,Breast cancer subtype 3
56313,Stromal cells
56314,Stromal cells
56315,Stromal cells
56316,Macrophages
56317,Macrophages
56318,Macrophages
56319,Endothelial cells
56320,T cells
56321,Endothelial cells
56322,T cells
56324,B cells
56325,T cells
56326,T cells
56327,Macrophages
56328,T cells
56329,Macrophages
56330,Stromal cells
56331,T cells
56332,T cells
56333,T cells
56334,T cells
56335,Macrophages
56336,T cells
56337,Stromal cells
56338,T cells
56339,T cells
56340,T cells
56341,B cells
56342,Macrophages
56343,Macrophages
56344,B cells
56345,T cells
56346,T cells
56347,T cells
56348,T cells
56349,Stromal cells
56350,T cells
56352,T cells
56353,Macrophages
56354,Stromal cells
56355,Stromal cells
56356,Stromal cells
56357,Macrophages
56358,Stromal cells
56359,Macrophages
56360,Stromal cells
56361,Breast cancer subtype 1
56362,T cells
56363,Breast cancer subtype 3
56364,Breast cancer subtype 1
56365,T cells
56366,T cells
56367,T cells
56368,T cells
56369,T cells
56370,Stromal cells
56371,T cells
56373,T cells
56374,T cells
56375,T cells
56376,B cells
56377,T cells
56378,T cells
56379,T cells
56381,T cells
56382,T cells
56383,Breast cancer subtype 3
56385,Breast cancer subtype 3
56386,Breast cancer subtype 1
56388,B cells
56389,T cells
56391,T cells
56392,T cells
56393,T cells
56394,B cells
56395,T cells
56396,T cells
56397,T cells
56398,T cells
56399,T cells
56401,T cells
56402,T cells
56403,T cells
56404,Stromal cells
56405,T cells
56406,T cells
56407,Breast cancer subtype 1
56408,Breast cancer subtype 1
56409,Breast cancer subtype 1
56410,Breast cancer subtype 1
56411,Breast cancer subtype 1
56412,Breast cancer subtype 1
56413,Breast cancer subtype 1
56414,Breast cancer subtype 1
56415,Breast cancer subtype 1
56416,Breast cancer subtype 1
56418,Breast cancer subtype 1
56419,T cells
56420,Breast cancer subtype 1
56421,T cells
56422,Macrophages
56423,Breast cancer subtype 1
56424,Breast cancer subtype 1
56425,Macrophages
56426,T cells
56427,Macrophages
56428,Macrophages
56429,Breast cancer subtype 1
56430,Macrophages
56431,Breast cancer subtype 1
56432,Breast cancer subtype 1
56433,Breast cancer subtype 1
56434,Breast cancer subtype 1
56435,Breast cancer subtype 1
56436,Breast cancer subtype 1
56437,Breast cancer subtype 1
56438,Breast cancer subtype 1
56439,Breast cancer subtype 1
56440,Breast cancer subtype 1
56441,Breast cancer subtype 1
56442,Breast cancer subtype 1
56443,Breast cancer subtype 1
56444,Breast cancer subtype 1
56445,Breast cancer subtype 1
56446,Breast cancer subtype 1
56447,Breast cancer subtype 1
56448,Breast cancer subtype 1
56449,Breast cancer subtype 1
56450,Breast cancer subtype 1
56451,Breast cancer subtype 1
56452,Breast cancer subtype 4
56453,Breast cancer subtype 1
56454,Breast cancer subtype 1
56455,Breast cancer subtype 3
56456,Breast cancer subtype 3
56457,Breast cancer subtype 1
56458,Breast cancer subtype 1
56459,Breast cancer subtype 1
56460,Breast cancer subtype 1
56461,Macrophages
56462,Macrophages
56464,Breast cancer subtype 1
56465,Breast cancer subtype 1
56466,Breast cancer subtype 1
56467,Breast cancer subtype 1
56468,Breast cancer subtype 1
56469,Breast cancer subtype 1
56470,Breast cancer subtype 1
56471,Breast cancer subtype 1
56472,Breast cancer subtype 1
56473,Breast cancer subtype 1
56474,Breast cancer subtype 1
56475,Breast cancer subtype 1
56476,Breast cancer subtype 1
56477,Breast cancer subtype 1
56478,Breast cancer subtype 1
56479,Breast cancer subtype 1
56480,Breast cancer subtype 1
56481,Breast cancer subtype 1
56482,Breast cancer subtype 1
56483,Breast cancer subtype 1
56484,Breast cancer subtype 1
56485,Breast cancer subtype 1
56486,Breast cancer subtype 1
56487,Breast cancer subtype 1
56488,Breast cancer subtype 1
56489,Breast cancer subtype 1
56490,Breast cancer subtype 1
56491,Macrophages
56492,Breast cancer subtype 1
56493,Breast cancer subtype 1
56494,Breast cancer subtype 1
56495,Breast cancer subtype 1
56496,Breast cancer subtype 1
56497,Breast cancer subtype 1
56498,Breast cancer subtype 1
56499,Breast cancer subtype 1
56500,Breast cancer subtype 1
56501,Breast cancer subtype 1
56502,Breast cancer subtype 1
56503,Endothelial cells
56504,T cells
56505,T cells
56506,T cells
56507,T cells
56508,T cells
56509,T cells
56512,Endothelial cells
56513,T cells
56514,T cells
56515,B cells
56516,T cells
56517,B cells
56518,Smooth muscle cells
56519,T cells
56520,T cells
56521,T cells
56522,Endothelial cells
56523,T cells
56524,Endothelial cells
56525,T cells
56526,Endothelial cells
56527,Smooth muscle cells
56528,Smooth muscle cells
56529,Macrophages
56530,T cells
56532,T cells
56534,T cells
56535,T cells
56536,Endothelial cells
56537,Smooth muscle cells
56538,T cells
56539,T cells
56540,T cells
56541,Smooth muscle cells
56542,B cells
56543,T cells
56545,B cells
56546,Endothelial cells
56547,T cells
56548,T cells
56549,T cells
56551,Endothelial cells
56552,Endothelial cells
56553,T cells
56554,T cells
56555,T cells
56556,T cells
56557,T cells
56558,Stromal cells
56559,Endothelial cells
56560,T cells
56561,T cells
56562,Breast cancer subtype 1
56563,Breast cancer subtype 3
56564,Breast cancer subtype 1
56565,Endothelial cells
56566,Endothelial cells
56567,Breast cancer subtype 1
56568,T cells
56569,Endothelial cells
56570,Breast cancer subtype 1
56572,Stromal cells
56573,Endothelial cells
56574,Breast cancer subtype 1
56575,Endothelial cells
56576,T cells
56577,Breast cancer subtype 1
56578,Endothelial cells
56579,T cells
56580,Macrophages
56581,Macrophages
56582,Stromal cells
56583,Breast cancer subtype 1
56584,Macrophages
56585,Breast cancer subtype 1
56586,Breast cancer subtype 1
56587,Breast cancer subtype 1
56588,Breast cancer subtype 1
56589,Breast cancer subtype 1
56590,Breast cancer subtype 1
56591,Breast cancer subtype 1
56592,Breast cancer subtype 1
56593,Breast cancer subtype 1
56594,Breast cancer subtype 1
56595,Breast cancer subtype 1
56596,Breast cancer subtype 1
56597,Stromal cells
56598,T cells
56599,Breast cancer subtype 1
56600,Breast cancer subtype 1
56601,Breast cancer subtype 3
56602,Breast cancer subtype 1
56603,Breast cancer subtype 1
56604,Breast cancer subtype 1
56605,Breast cancer subtype 1
56606,Breast cancer subtype 1
56607,Stromal cells
56608,Stromal cells
56609,Breast cancer subtype 1
56610,Breast cancer subtype 3
56611,Breast cancer subtype 1
56612,Breast cancer subtype 1
56613,Stromal cells
56614,T cells
56615,Breast cancer subtype 1
56616,T cells
56617,Breast cancer subtype 1
56618,Breast cancer subtype 1
56619,Breast cancer subtype 1
56620,Breast cancer subtype 1
56621,Breast cancer subtype 1
56622,Breast cancer subtype 1
56623,Breast cancer subtype 1
56624,Breast cancer subtype 1
56625,Breast cancer subtype 1
56626,Breast cancer subtype 1
56627,Breast cancer subtype 1
56628,Breast cancer subtype 1
56629,Stromal cells
56630,T cells
56631,Macrophages
56632,Breast cancer subtype 1
56634,Macrophages
56635,Breast cancer subtype 3
56636,Breast cancer subtype 1
56638,Breast cancer subtype 1
56639,Macrophages
56640,Macrophages
56641,Breast cancer subtype 1
56642,Breast cancer subtype 1
56643,Breast cancer subtype 1
56644,Breast cancer subtype 1
56645,Breast cancer subtype 1
56646,Breast cancer subtype 1
56647,Breast cancer subtype 1
56648,Breast cancer subtype 1
56649,Breast cancer subtype 1
56650,Breast cancer subtype 1
56651,Macrophages
56652,Breast cancer subtype 1
56653,Breast cancer subtype 1
56654,Breast cancer subtype 1
56655,Breast cancer subtype 3
56656,Breast cancer subtype 1
56657,Breast cancer subtype 1
56658,Breast cancer subtype 1
56659,Breast cancer subtype 1
56660,Breast cancer subtype 1
56661,Stromal cells
56662,Stromal cells
56663,Breast cancer subtype 1
56664,Breast cancer subtype 1
56665,Breast cancer subtype 1
56666,Endothelial cells
56667,Breast cancer subtype 3
56668,Macrophages
56669,Breast cancer subtype 3
56670,Smooth muscle cells
56671,Macrophages
56672,Endothelial cells
56673,Breast cancer subtype 1
56674,Breast cancer subtype 1
56675,Breast cancer subtype 1
56676,Breast cancer subtype 1
56677,Breast cancer subtype 1
56678,Breast cancer subtype 3
56679,Breast cancer subtype 1
56680,Breast cancer subtype 1
56681,Breast cancer subtype 1
56682,Breast cancer subtype 1
56683,Breast cancer subtype 1
56684,Smooth muscle cells
56685,Breast cancer subtype 1
56686,Breast cancer subtype 1
56687,Breast cancer subtype 1
56688,Stromal cells
56689,Breast cancer subtype 1
56690,Breast cancer subtype 3
56691,Breast cancer subtype 1
56692,Breast cancer subtype 1
56693,Breast cancer subtype 1
56694,Breast cancer subtype 1
56695,Breast cancer subtype 1
56696,Breast cancer subtype 3
56697,Breast cancer subtype 3
56698,Breast cancer subtype 1
56699,Breast cancer subtype 1
56700,Breast cancer subtype 1
56701,Breast cancer subtype 1
56702,T cells
56703,Breast cancer subtype 1
56704,Breast cancer subtype 1
56705,Breast cancer subtype 1
56706,Breast cancer subtype 3
56707,Breast cancer subtype 1
56708,Breast cancer subtype 1
56709,Macrophages
56710,Breast cancer subtype 1
56711,Breast cancer subtype 1
56712,Breast cancer subtype 1
56713,Breast cancer subtype 1
56714,Breast cancer subtype 1
56715,Breast cancer subtype 1
56716,Breast cancer subtype 1
56717,Macrophages
56718,T cells
56719,Endothelial cells
56720,Breast cancer subtype 1
56721,Breast cancer subtype 1
56722,Breast cancer subtype 1
56723,Breast cancer subtype 1
56724,Breast cancer subtype 1
56725,Breast cancer subtype 1
56726,Breast cancer subtype 1
56727,Breast cancer subtype 1
56728,Breast cancer subtype 1
56729,Breast cancer subtype 1
56730,Breast cancer subtype 1
56731,Breast cancer subtype 1
56732,Breast cancer subtype 1
56733,Breast cancer subtype 1
56734,Breast cancer subtype 1
56735,Breast cancer subtype 1
56736,Breast cancer subtype 1
56737,Breast cancer subtype 3
56738,Breast cancer subtype 1
56739,Stromal cells
56740,Breast cancer subtype 1
56741,Breast cancer subtype 1
56742,Breast cancer subtype 1
56743,Breast cancer subtype 1
56744,Breast cancer subtype 1
56745,Breast cancer subtype 1
56746,Breast cancer subtype 1
56747,Breast cancer subtype 1
56748,Breast cancer subtype 1
56749,Breast cancer subtype 1
56750,Breast cancer subtype 3
56751,Breast cancer subtype 3
56752,Breast cancer subtype 1
56753,Breast cancer subtype 1
56754,Breast cancer subtype 1
56755,Breast cancer subtype 1
56756,Breast cancer subtype 1
56757,Breast cancer subtype 1
56758,Breast cancer subtype 1
56759,Breast cancer subtype 1
56760,Breast cancer subtype 1
56761,Breast cancer subtype 1
56762,Breast cancer subtype 1
56763,Stromal cells
56764,Breast cancer subtype 1
56765,Stromal cells
56766,Stromal cells
56767,Macrophages
56768,Breast cancer subtype 1
56769,Breast cancer subtype 1
56770,B cells
56771,Breast cancer subtype 1
56772,T cells
56773,Stromal cells
56774,Breast cancer subtype 1
56775,T cells
56776,Breast cancer subtype 3
56777,B cells
56778,Breast cancer subtype 1
56779,Breast cancer subtype 1
56780,Stromal cells
56781,Macrophages
56782,T cells
56783,Stromal cells
56784,T cells
56785,Stromal cells
56786,Stromal cells
56787,Macrophages
56788,B cells
56789,T cells
56790,Macrophages
56791,Macrophages
56792,B cells
56793,T cells
56794,Stromal cells
56795,T cells
56796,B cells
56797,T cells
56798,T cells
56799,T cells
56800,B cells
56801,T cells
56802,Stromal cells
56803,Stromal cells
56804,Macrophages
56805,B cells
56806,Stromal cells
56807,T cells
56808,Macrophages
56809,B cells
56810,B cells
56811,T cells
56812,Macrophages
56813,Macrophages
56814,T cells
56815,Macrophages
56816,B cells
56817,T cells
56818,Macrophages
56819,T cells
56820,Stromal cells
56821,T cells
56822,B cells
56823,T cells
56824,Macrophages
56825,T cells
56826,T cells
56827,B cells
56828,T cells
56829,T cells
56830,T cells
56831,T cells
56832,T cells
56833,T cells
56834,T cells
56835,T cells
56836,B cells
56837,T cells
56838,T cells
56839,T cells
56840,T cells
56841,T cells
56842,T cells
56843,T cells
56844,Macrophages
56845,T cells
56846,T cells
56847,T cells
56848,T cells
56849,T cells
56850,T cells
56851,T cells
56852,T cells
56853,T cells
56854,Macrophages
56855,T cells
56856,T cells
56857,T cells
56858,T cells
56859,Macrophages
56860,T cells
56861,T cells
56862,T cells
56863,Macrophages
56864,T cells
56865,T cells
56866,T cells
56867,T cells
56868,T cells
56869,T cells
56870,T cells
56871,Stromal cells
56872,Stromal cells
56873,Endothelial cells
56874,Endothelial cells
56875,Breast cancer subtype 1
56876,Breast cancer subtype 1
56877,Breast cancer subtype 1
56878,Macrophages
56879,Breast cancer subtype 1
56880,T cells
56881,Stromal cells
56882,Breast cancer subtype 1
56883,Endothelial cells
56884,Endothelial cells
56885,Breast cancer subtype 1
56886,Breast cancer subtype 1
56887,Breast cancer subtype 1
56888,Breast cancer subtype 3
56889,Endothelial cells
56890,Stromal cells
56891,Endothelial cells
56893,Stromal cells
56894,T cells
56895,Macrophages
56896,Macrophages
56897,Endothelial cells
56898,Endothelial cells
56899,Macrophages
56900,Macrophages
56901,Macrophages
56902,Breast cancer subtype 1
56903,Breast cancer subtype 3
56904,Endothelial cells
56905,Breast cancer subtype 1
56906,Macrophages
56907,Breast cancer subtype 1
56908,Stromal cells
56909,Stromal cells
56910,Stromal cells
56911,Breast cancer subtype 1
56913,Breast cancer subtype 1
56914,Breast cancer subtype 1
56915,Breast cancer subtype 1
56916,Breast cancer subtype 1
56917,Breast cancer subtype 1
56918,Macrophages
56919,Breast cancer subtype 1
56920,Breast cancer subtype 3
56921,Breast cancer subtype 1
56922,Breast cancer subtype 1
56923,Breast cancer subtype 1
56924,Breast cancer subtype 1
56925,Breast cancer subtype 1
56926,Breast cancer subtype 1
56927,Breast cancer subtype 1
56928,Breast cancer subtype 3
56929,Breast cancer subtype 1
56930,Breast cancer subtype 1
56931,Breast cancer subtype 3
56932,Breast cancer subtype 1
56933,Breast cancer subtype 1
56935,Breast cancer subtype 1
56936,Breast cancer subtype 1
56937,Breast cancer subtype 1
56938,Breast cancer subtype 1
56939,Breast cancer subtype 3
56940,Breast cancer subtype 3
56941,Breast cancer subtype 1
56942,T cells
56943,T cells
56944,Stromal cells
56945,Macrophages
56946,Macrophages
56947,Breast cancer subtype 1
56948,Macrophages
56949,Breast cancer subtype 3
56950,T cells
56951,Breast cancer subtype 3
56952,T cells
56953,Endothelial cells
56954,Endothelial cells
56955,Endothelial cells
56956,Breast cancer subtype 3
56958,T cells
56959,Breast cancer subtype 1
56962,Endothelial cells
56963,Stromal cells
56966,Stromal cells
